Blueberries,Tissue Paper,Soda,,
Chicken,Batteries,,,
Potatoes,Cheese,Juice,Plates,Grapes
Bread,Cake,Jelly,Milk,Apples
Eggs,Almonds,Tomatoes,Chips,
Water,Oranges,,,
Crabs,Butter,Cookies,Rice,
Toothpaste,Cups,Peanuts,Cereal,
Chicken,Juice,,,
Apples,Batteries,Tissue Paper,,
Cheese,Grapes,Milk,Potatoes,
Cake,Bread,Tomatoes,,
Eggs,Chips,Jelly,,
Blueberries,Soda,Water,,
Butter,Almonds,Plates,,
Crabs,Oranges,Rice,,
Toothpaste,Cups,,,
Cookies,Peanuts,Cereal,,
Chicken,,,,
Apples,Cheese,,,
