Water,Cake,Jelly,Almonds,Chips
Milk,Plates,Butter,,
Tomatoes,Pumpkins,Cookies,Blueberries,
Chicken,Cereal,Soda,,
Bread,Oranges,Grapes,Cheese,Tooth Paste
Eggs,Juice,,,
Apples,Rice,Crabs,Tooth Paste,
Potatoes,Batteries,Chips,Cake,Butter
Cups,Peanuts,Water,,
Oranges,Almonds,,,
Jelly,Blueberries,Chips,,
Milk,Plates,Chicken,Potatoes,Cookies
Tomatoes,Eggs,,,
Butter,Cereal,Water,,
Soda,Cheese,Pumpkins,,
Tooth Paste,Grapes,Apples,,
Rice,Juice,Oranges,,
Crabs,Bread,,,
Batteries,Grapes,Cereal,,
Peanuts,Cups,,,
